scientific_name,cave_roosting,roosting_source
Acerodon_celebensis,no,IUCN Red List
Chaerephon_cf_pumilus,no,Willoughby et al. 2017
Chaerephon_plicatus,yes,Willoughby et al. 2017
Chaerephon_pumilus,no,Willoughby et al. 2017
Chaerephon_sp,NA,NA
Chiroptera,NA,NA
Cynopterus_brachyotis,yes,Willoughby et al. 2017
Cynopterus_horsfieldii,yes,IUCN Red List
Cynopterus_sp,NA,NA
Cynopterus_sphinx,yes,Willoughby et al. 2017
Eidolon_helvum,no,Willoughby et al. 2017
Eonycteris_spelaea,yes,Willoughby et al. 2017
Epomophorus_gambianus,no,Willoughby et al. 2017
Epomops_buettikoferi,no,IUCN Red List
Epomops_franqueti,no,Willoughby et al. 2017
Glauconycteris_poensis,no,IUCN Red List
Glauconycteris_variegata,no,IUCN Red List
Hipposideros_caffer,yes,Willoughby et al. 2017
Hipposideros_cervinus,yes,IUCN Red List
Hipposideros_cf_ruber,yes,Willoughby et al. 2017
Hipposideros_commersoni,yes,Willoughby et al. 2017
Hipposideros_curtus,yes,IUCN Red List
Hipposideros_diadema,yes,Willoughby et al. 2017
Hipposideros_fuliginosus,no,IUCN Red List
Hipposideros_gigas,yes,IUCN Red List
Hipposideros_jonesi,yes,IUCN Red List
Hipposideros_larvatus_grandis_species_complex,yes,IUCN Red List
Hipposideros_lekaguli,yes,IUCN Red List
Hipposideros_ruber,yes,Willoughby et al. 2017
Hipposideros_sp,NA,NA
Kerivoula_hardwickii,yes,IUCN Red List
Kerivoula_pellucida,no,IUCN Red List
Lissonycteris_angolensis,yes,IUCN Red List
Megaderma_lyra,yes,Willoughby et al. 2017
Megaderma_sp,NA,NA
Megaerops_ecaudatus,no,IUCN Red List
Megaloglossus_woermanni,no,IUCN Red List
Micropteropus_pusillus,no,Willoughby et al. 2017
Miniopterus_cf_schreibersii,yes,Willoughby et al. 2017
Miniopterus_magnater,yes,IUCN Red List
Miniopterus_schreibersii,yes,Willoughby et al. 2017
Miniopterus_sp,NA,NA
Mops_condylurus,yes,Willoughby et al. 2017
Mops_midas,no,IUCN Red List
Mops_sp,NA,NA
Myonycteris_sp,NA,NA
Myonycteris_torquata,no,IUCN Red List
Myotis_horsfieldii,yes,Willoughby et al. 2017
Myotis_muricola,yes,IUCN Red List
Myotis_welwitschii,no,IUCN Red List
Neoromicia_cf_somalica,no,IUCN Red List
Nycteris_thebaica,yes,Willoughby et al. 2017
Nycteris_tragata,yes,IUCN Red List
Otomops_martiensseni,no,IUCN Red List
Pipistrellus_coromandra,yes,Willoughby et al. 2017
Pipistrellus_kuhlii,yes,Willoughby et al. 2017
Pteropus_alecto,no,Willoughby et al. 2017
Pteropus_cf_alecto,no,Willoughby et al. 2017
Pteropus_cf_conspicillatus,no,Willoughby et al. 2017
Pteropus_cf_lylei,no,Willoughby et al. 2017
Pteropus_giganteus,no,Willoughby et al. 2017
Pteropus_lylei,no,Willoughby et al. 2017
Rhinolophus_acuminatus,yes,IUCN Red List
Rhinolophus_blasii,yes,Willoughby et al. 2017
Rhinolophus_cf_alcyone,yes,IUCN Red List
Rhinolophus_cf_arcuatus,yes,IUCN Red List
Rhinolophus_cf_creaghi,yes,IUCN Red List
Rhinolophus_cf_euryale,yes,Willoughby et al. 2017
Rhinolophus_cf_mehelyi,yes,Willoughby et al. 2017
Rhinolophus_creaghi,yes,IUCN Red List
Rhinolophus_euryale,yes,Willoughby et al. 2017
Rhinolophus_ferrumequinum,yes,Willoughby et al. 2017
Rhinolophus_lepidus,yes,Willoughby et al. 2017
Rhinolophus_mehelyi,yes,Willoughby et al. 2017
Rhinolophus_sinicus,yes,Willoughby et al. 2017
Rhinolophus_sp,NA,NA
Rhinolophus_trifoliatus,no,IUCN Red List
Rhinopoma_hardwickii,yes,IUCN Red List
Rhinopomatidae,NA,NA
Rousettus_aegyptiacus,yes,Willoughby et al. 2017
Rousettus_amplexicaudatus,yes,Willoughby et al. 2017
Scotophilus_cf_heathii,no,IUCN Red List
Scotophilus_cf_kuhlii,yes,Willoughby et al. 2017
Scotophilus_heathii,no,IUCN Red List
Scotophilus_kuhlii,yes,Willoughby et al. 2017
Scotophilus_nux,no,IUCN Red List
Taphozous_longimanus,yes,IUCN Red List
Taphozous_perforatus,yes,Willoughby et al. 2017
Taphozous_sp,NA,NA
Thoopterus_nigrescens,no,IUCN Red List
Thoopterus_sp,NA,NA
Tylonycteris_pachypus,no,Willoughby et al. 2017
